Owner,Repository,Xtext File,Mwe2 File,New File
kuniss,xtext-ide-extensions,kuniss-xtext-ide-extensions-066aabd/xtext-language-server/de.grammarcraft.xtext.ls/src/main/java/de/grammarcraft/xtext/ls/Xtext.xtext,kuniss-xtext-ide-extensions-066aabd/xtext-language-server/de.grammarcraft.xtext.ls/src/main/java/de/grammarcraft/xtext/ls/GenerateXtext.mwe2,kuniss-xtext-ide-extensions-066aabd/xtext-language-server/de.grammarcraft.xtext.ls/src/main/java/de/grammarcraft/xtext/ls/Xtext.xtext
graph-quilt,xtext-service-dsl,graph-quilt-xtext-service-dsl-7eabcd0/com.intuit.dsl.service.parent/com.intuit.dsl.service/src/com/intuit/dsl/Service.xtext,graph-quilt-xtext-service-dsl-7eabcd0/com.intuit.dsl.service.parent/com.intuit.dsl.service/src/com/intuit/dsl/GenerateService.mwe2,"graph-quilt-xtext-service-dsl-7eabcd0/com.intuit.dsl.service.parent/web-client-service-evaluator/src/test/resources/addBook/service.service,graph-quilt-xtext-service-dsl-7eabcd0/com.intuit.dsl.service.parent/web-client-service-evaluator/src/test/resources/bookById/service-err-array-nokey.service,graph-quilt-xtext-service-dsl-7eabcd0/com.intuit.dsl.service.parent/web-client-service-evaluator/src/test/resources/bookById/service-err-param-not-string.service,graph-quilt-xtext-service-dsl-7eabcd0/com.intuit.dsl.service.parent/web-client-service-evaluator/src/test/resources/bookById/service-err-param-null.service,graph-quilt-xtext-service-dsl-7eabcd0/com.intuit.dsl.service.parent/web-client-service-evaluator/src/test/resources/bookById/service-err-string-nokey.service,graph-quilt-xtext-service-dsl-7eabcd0/com.intuit.dsl.service.parent/web-client-service-evaluator/src/test/resources/bookById/service.service,graph-quilt-xtext-service-dsl-7eabcd0/com.intuit.dsl.service.parent/web-client-service-evaluator/src/test/resources/books/service.service"
btc-ag,service-idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl/src/com/btc/serviceidl/Idl.xtext,btc-ag-service-idl-9e4814b/com.btc.serviceidl/src/com/btc/serviceidl/GenerateIdl.mwe2,"btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/base.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/failable.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/data-struct-inheritance.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/data-struct-optional.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/data-struct-with-sequence.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/data-struct.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/data-typedef.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/event.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/exception-declaration-with-supertype.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/exception-declaration.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-doccomment.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-inheritance-both-empty.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-inheritance-both-nonempty-abstract-base.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-inheritance-both-nonempty.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-minimal.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-query-doccomment.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-query-raises-exception.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-query.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-with-enum.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-with-failable-input.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-with-failable-output.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-with-failable-return-raises.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-with-failable-return.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-with-in-param-enum.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-with-in-param-float.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-with-in-param-int.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-with-in-param-sequence.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-with-in-param-string.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-with-in-param-struct.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-with-out-param-enum.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-with-out-param-float.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-with-out-param-int.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-with-out-param-sequence.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-with-out-param-string.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-with-out-param-struct.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-with-sequence-return-type.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/interface-with-struct.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/main-module.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/nested-module-in-non-empty-module.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/nested-module-in-non-empty-module2.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/nested-module-in-non-empty-module3.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/struct-nested-sequence.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/struct-nested.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good/virtual-module.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/good_ext/anonymous-event.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/import-derived.idl,btc-ag-service-idl-9e4814b/com.btc.serviceidl.tests/src/com/btc/serviceidl/tests/testdata/import-imported.idl"
eventB-Soton,XUML_B,eventB-Soton-XUML_B-8a8f97f/ac.soton.xumlb/src/ac/soton/xumlb/XUmlb.xtext,eventB-Soton-XUML_B-8a8f97f/ac.soton.xumlb/src/ac/soton/xumlb/GenerateXUmlb.mwe2,null
Minres,CoreDSL,Minres-CoreDSL-613fe86/com.minres.coredsl/src/com/minres/coredsl/CoreDsl.xtext,Minres-CoreDSL-613fe86/com.minres.coredsl/src/com/minres/coredsl/GenerateCoreDsl.mwe2,"Minres-CoreDSL-613fe86/com.minres.coredsl.tests/inputs/RISCVBase.core_desc,Minres-CoreDSL-613fe86/com.minres.coredsl.tests/inputs/intro_concurrency.core_desc,Minres-CoreDSL-613fe86/com.minres.coredsl.tests/inputs/intro_syntax.core_desc,Minres-CoreDSL-613fe86/com.minres.coredsl.tests/inputs/intro_types.core_desc,Minres-CoreDSL-613fe86/com.minres.coredsl.tests/inputs/scoping_test.core_desc"
TypeFox,xtext2langium,null,null,null
v-bashev,post_core,"v-bashev-post_core-ce667a6/su.nsk.iae.post.parent/su.nsk.iae.post/src/su/nsk/iae/post/PoST.xtext,v-bashev-post_core-ce667a6/su.nsk.iae.post.parent/su.nsk.iae.post/target/classes/su/nsk/iae/post/PoST.xtext","v-bashev-post_core-ce667a6/su.nsk.iae.post.parent/su.nsk.iae.post/src/su/nsk/iae/post/GeneratePoST.mwe2,v-bashev-post_core-ce667a6/su.nsk.iae.post.parent/su.nsk.iae.post/target/classes/su/nsk/iae/post/GeneratePoST.mwe2","v-bashev-post_core-ce667a6/su.nsk.iae.post.parent/su.nsk.iae.post.ui/resources/examples/HandDryer.post,v-bashev-post_core-ce667a6/su.nsk.iae.post.parent/su.nsk.iae.post.ui/resources/examples/Template.post,v-bashev-post_core-ce667a6/su.nsk.iae.post.parent/su.nsk.iae.post.ui/resources/examples/HandDryer.post,v-bashev-post_core-ce667a6/su.nsk.iae.post.parent/su.nsk.iae.post.ui/resources/examples/Template.post"
NielsLiisberg,RPG-lexer,NielsLiisberg-RPG-lexer-fb16a7c/org.sitemule.rpglanguage.rpgle/src/org/sitemule/rpglanguage/Rpgle.xtext,NielsLiisberg-RPG-lexer-fb16a7c/org.sitemule.rpglanguage.rpgle/src/org/sitemule/rpglanguage/GenerateRpgle.mwe2,null
OpenSextant,XText,"magick93-xtext-0528aa7/org.domaindriven.dsl.parent/org.domaindriven.dsl/src/main/java/org/domaindriven/dsl/Ddd.xtext,magick93-xtext-0528aa7/org.domaindriven.dsl.parent/org.domaindriven.dsl/target/classes/org/domaindriven/dsl/Ddd.xtext,magick93-xtext-0528aa7/org.domaindriven.model.dsl.parent/org.domaindriven.model.dsl/src/main/java/org/domaindriven/model/dsl/Ddd.xtext,magick93-xtext-0528aa7/org.domaindriven.model.dsl.parent/org.domaindriven.model.dsl/target/classes/org/domaindriven/model/dsl/Ddd.xtext","magick93-xtext-0528aa7/org.domaindriven.dsl.parent/org.domaindriven.dsl/src/main/java/org/domaindriven/dsl/GenerateDdd.mwe2,magick93-xtext-0528aa7/org.domaindriven.dsl.parent/org.domaindriven.dsl/target/classes/org/domaindriven/dsl/GenerateDdd.mwe2,magick93-xtext-0528aa7/org.domaindriven.model.dsl.parent/org.domaindriven.model.dsl/src/main/java/org/domaindriven/model/dsl/GenerateDdd.mwe2,magick93-xtext-0528aa7/org.domaindriven.model.dsl.parent/org.domaindriven.model.dsl/target/classes/org/domaindriven/model/dsl/GenerateDdd.mwe2",null
laubfall,jugh-xtext-arkanoid,laubfall-jugh-xtext-arkanoid-965b940/arkanoid3d.dsl.parent/arkanoid3d.dsl/src/de/jugh/ArkanoidDsl.xtext,laubfall-jugh-xtext-arkanoid-965b940/arkanoid3d.dsl.parent/arkanoid3d.dsl/src/de/jugh/GenerateArkanoidDsl.mwe2,"laubfall-jugh-xtext-arkanoid-965b940/arkanoid3d/src/main/resources/dsl/Bricks.ark,laubfall-jugh-xtext-arkanoid-965b940/arkanoid3d/src/main/resources/dsl/Game.ark,laubfall-jugh-xtext-arkanoid-965b940/arkanoid3d/src/main/resources/dsl/Level.ark,laubfall-jugh-xtext-arkanoid-965b940/arkanoid3d/src/main/resources/dsl/RowCreators.ark"
khabdrick,LambdaXtextract,null,null,null
bsati,mgpl-xtext,christopherosthues-mgpl-xtext-893e446/org.xtext.vuc.mgpl/src/org/xtext/vuc/mgpl/MGPL.xtext,christopherosthues-mgpl-xtext-893e446/org.xtext.vuc.mgpl/src/org/xtext/vuc/mgpl/GenerateMGPL.mwe2,null
